diagnosis_DSM5,description
D5_17.03.01,Uitgebreide frontotemporale neurocognitieve stoornis
D5_17.03.01.01,Uitgebreide neurocognitieve stoornis door frontotemporale lobaire degeneratie: zonder gedragsstoornissen
D5_17.03.01.02,Uitgebreide neurocognitieve stoornis door frontotemporale lobaire degeneratie: met gedragsstoornissen
D5_17.03.02,Beperkte frontotemporale neurocognitieve stoornis
D5_17.03.02.01,Beperkte neurocognitieve stoornis door frontotemporale lobaire degeneratie: met gedragsstoornissen
D5_17.03.02.02,Beperkte neurocognitieve stoornis door frontotemporale lobaire degeneratie: zonder gedragsstoornissen
D5_17.04,Uitgebreide of beperkte neurocognitieve stoornis met lewylichaampjes
D5_17.04.01,Uitgebreide neurocognitieve stoornis met lewylichaampjes
D5_17.04.01.01,Uitgebreide neurocognitieve stoornis met lewylichaampjes: met gedragsstoornissen
D5_17.04.01.02,Uitgebreide neurocognitieve stoornis met lewylichaampjes: zonder gedragsstoornissen
D5_17.04.02,Beperkte neurocognitieve stoornis met lewylichaampjes
D5_17.04.02.01,Beperkte neurocognitieve stoornis met lewylichaampjes: met gedragsstoornissen
D5_17.04.02.02,Beperkte neurocognitieve stoornis met lewylichaampjes: zonder gedragsstoornissen
D5_17.05,Uitgebreide of beperkte vasculaire neurocognitieve stoornis
D5_17.05.01,Uitgebreide vasculaire neurocognitieve stoornis
D5_17.05.01.01,Uitgebreide vasculaire neurocognitieve stoornis: met gedragsstoornissen
D5_17.05.01.02,Uitgebreide vasculaire neurocognitieve stoornis: zonder gedragsstoornissen
D5_17.05.02,Beperkte vasculaire neurocognitieve stoornis
D5_17.05.02.01,Beperkte vasculaire neurocognitieve stoornis: met gedragsstoornissen
D5_17.05.02.02,Beperkte vasculaire neurocognitieve stoornis: zonder gedragsstoornissen
D5_17.06,Uitgebreide of beperkte neurocognitieve stoornis door traumatisch hersenletsel
D5_17.06.01,Uitgebreide neurocognitieve stoornis door traumatisch hersenletsel
D5_17.06.01.01,Uitgebreide neurocognitieve stoornis door traumatisch hersenletsel: met gedragsstoornissen
D5_17.06.01.02,Uitgebreide neurocognitieve stoornis door traumatisch hersenletsel: zonder gedragsstoornissen
D5_17.06.02,Uitgebreide of beperkte neurocognitieve stoornis door traumatisch hersenletsel
D5_17.06.02.01,Beperkte neurocognitieve stoornis door traumatisch hersenletsel: met gedragsstoornissen
D5_17.06.02.02,Beperkte neurocognitieve stoornis door traumatisch hersenletsel: zonder gedragsstoornissen
